variant,class_name,count,mean_confidence,max_confidence
3Region_Thr2055_Edge12,bottle,1,0.9038903117179871,0.9038903117179871
3Region_Thr2055_Edge12,car,1,0.4984762668609619,0.4984762668609619
3Region_Thr2055_Edge12,chair,1,0.4032624661922455,0.4032624661922455
3Region_Thr2055_Edge12,elephant,1,0.6041184663772583,0.6041184663772583
3Region_Thr2055_Edge12,frisbee,1,0.31055569648742676,0.31055569648742676
3Region_Thr2055_Edge12,keyboard,1,0.6399000883102417,0.6399000883102417
3Region_Thr2055_Edge12,parking meter,1,0.6776895523071289,0.6776895523071289
3Region_Thr2055_Edge12,pizza,1,0.6909024119377136,0.6909024119377136
3Region_Thr2055_Edge12,remote,1,0.9073716402053833,0.9073716402053833
3Region_Thr2055_Edge12,surfboard,1,0.6017194390296936,0.6017194390296936
3Region_Thr2055_Edge12,teddy bear,1,0.9167453050613403,0.9167453050613403
3Region_Thr2055_Edge12,tennis racket,1,0.8892188668251038,0.8892188668251038
3Region_Thr2055_Edge12,truck,1,0.8871937990188599,0.8871937990188599
Bicubic,person,18,0.6321254836188422,0.9357612133026123
Bicubic,bird,6,0.5909956246614456,0.903952419757843
Bicubic,wine glass,5,0.6144811630249023,0.8302144408226013
Bicubic,cow,3,0.8458880384763082,0.8999523520469666
Bicubic,dining table,3,0.4615898132324219,0.779452919960022
Bicubic,sports ball,3,0.6072361469268799,0.7700421214103699
Bicubic,tie,3,0.6541418731212616,0.8465501666069031
Bicubic,baseball bat,2,0.550932839512825,0.7412018179893494
Bicubic,broccoli,2,0.5588027685880661,0.7242597937583923
Bicubic,dog,2,0.8072604835033417,0.8573887348175049
Bicubic,motorcycle,2,0.6666878461837769,0.7932906746864319
Bicubic,airplane,1,0.8779082298278809,0.8779082298278809
Bicubic,bear,1,0.30090004205703735,0.30090004205703735
Bicubic,bottle,1,0.9056864976882935,0.9056864976882935
Bicubic,car,1,0.5319766998291016,0.5319766998291016
Bicubic,chair,1,0.4641059339046478,0.4641059339046478
