variant,class_name,count,mean_confidence,max_confidence
3Region_Base,person,15,0.6999390542507171,0.93220055103302
3Region_Base,bird,8,0.5231051668524742,0.9171352982521057
3Region_Base,tie,5,0.5047503530979156,0.856941819190979
3Region_Base,wine glass,4,0.615316592156887,0.8584625124931335
3Region_Base,cow,3,0.8580900033315023,0.8773953914642334
3Region_Base,dining table,3,0.4630734125773112,0.7055098414421082
3Region_Base,sports ball,3,0.6489206552505493,0.8061394095420837
3Region_Base,baseball bat,2,0.5069280564785004,0.7213037014007568
3Region_Base,broccoli,2,0.5176399499177933,0.6840164661407471
3Region_Base,dog,2,0.849591076374054,0.8549709320068359
3Region_Base,frisbee,2,0.3750939965248108,0.3897175192832947
3Region_Base,motorcycle,2,0.6528023928403854,0.8261255621910095
3Region_Base,train,2,0.725747138261795,0.9147062301635742
3Region_Base,airplane,1,0.8591740727424622,0.8591740727424622
3Region_Base,bear,1,0.5070635080337524,0.5070635080337524
3Region_Base,bottle,1,0.9155310392379761,0.9155310392379761
3Region_Base,car,1,0.48057761788368225,0.48057761788368225
3Region_Base,chair,1,0.38000860810279846,0.38000860810279846
3Region_Base,elephant,1,0.5395228862762451,0.5395228862762451
3Region_Base,keyboard,1,0.6351924538612366,0.6351924538612366
3Region_Base,parking meter,1,0.6951577067375183,0.6951577067375183
3Region_Base,pizza,1,0.7476707696914673,0.7476707696914673
3Region_Base,remote,1,0.9149308204650879,0.9149308204650879
3Region_Base,surfboard,1,0.4842938184738159,0.4842938184738159
3Region_Base,teddy bear,1,0.9197205901145935,0.9197205901145935
3Region_Base,tennis racket,1,0.8787496089935303,0.8787496089935303
3Region_Base,truck,1,0.8970881104469299,0.8970881104469299
3Region_Edge12,person,15,0.7043778697649637,0.9324381351470947
3Region_Edge12,bird,8,0.5263866372406483,0.9168536067008972
3Region_Edge12,tie,5,0.48098424077033997,0.8520258069038391
3Region_Edge12,wine glass,4,0.6176373213529587,0.8563176989555359
3Region_Edge12,cow,3,0.8597012360890707,0.8809141516685486
3Region_Edge12,dining table,3,0.45455214381217957,0.6914348602294922
3Region_Edge12,sports ball,3,0.6462030410766602,0.8004538416862488
3Region_Edge12,baseball bat,2,0.514378160238266,0.7295119166374207
3Region_Edge12,broccoli,2,0.5110075324773788,0.664577305316925
3Region_Edge12,dog,2,0.8512146174907684,0.8573225736618042
3Region_Edge12,frisbee,2,0.3390663415193558,0.3637814223766327
3Region_Edge12,motorcycle,2,0.6464714407920837,0.8234336972236633
3Region_Edge12,train,2,0.7267592251300812,0.9109830260276794
