image,variant,num_detections
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Thr1035,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Thr2055_Edge12,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,Bicubic,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,HR,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,SRCNN_x4_Adaptive,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,SRCNN_x4_V4,1
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Base,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Edge12,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Thr1035,4
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Thr2055_Edge12,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,Bicubic,4
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,HR,1
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,SRCNN_x4_Adaptive,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,SRCNN_x4_V4,3
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Base,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Edge12,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Thr1035,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Thr2055_Edge12,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,Bicubic,2
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,HR,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,SRCNN_x4_Adaptive,2
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,SRCNN_x4_V4,1
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Base,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Edge12,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Thr1035,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Thr2055_Edge12,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,Bicubic,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,HR,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,SRCNN_x4_Adaptive,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,SRCNN_x4_V4,2
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Base,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Edge12,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Thr1035,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Thr2055_Edge12,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,Bicubic,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,HR,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,SRCNN_x4_Adaptive,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,SRCNN_x4_V4,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Base,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Edge12,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Thr1035,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Thr2055_Edge12,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,Bicubic,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,HR,2
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,SRCNN_x4_Adaptive,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,SRCNN_x4_V4,0
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Base,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Edge12,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Thr1035,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Thr2055_Edge12,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,Bicubic,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,HR,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,SRCNN_x4_Adaptive,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,SRCNN_x4_V4,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Base,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Edge12,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Thr1035,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Thr2055_Edge12,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,Bicubic,0
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,HR,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,SRCNN_x4_Adaptive,0
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,SRCNN_x4_V4,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Base,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Edge12,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Thr1035,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Thr2055_Edge12,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,Bicubic,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,HR,0
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,SRCNN_x4_Adaptive,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,SRCNN_x4_V4,1
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Base,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Edge12,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Thr1035,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Thr2055_Edge12,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,Bicubic,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,HR,1
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,SRCNN_x4_Adaptive,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,SRCNN_x4_V4,1
