variant,num_gt,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1,AP50_all_classes,mean_confidence,max_confidence
HR,709,551,391,160,318,0.709618866443634,0.5514809489250183,0.6206349110074715,0.5058120335367331,0.5889612156661149,0.96360182762146
Bicubic,709,426,300,126,409,0.7042253613471985,0.42313116788864136,0.5286343616701652,0.3753418529989321,0.5717240519506831,0.9518219828605652
SRCNN_x4_V4,709,416,293,123,416,0.7043269276618958,0.4132581055164337,0.5208888865699768,0.3715132949896307,0.5769176832758464,0.9514665007591248
SRCNN_x4_Adaptive,709,420,292,128,417,0.6952381134033203,0.41184768080711365,0.5172719334152069,0.3686988253194978,0.5749821463511103,0.9529047012329102
3Region_Thr1035,709,415,291,124,418,0.7012048363685608,0.4104372262954712,0.5177935916069467,0.3669393830517107,0.5708198107150664,0.9534409642219543
3Region_Edge12,709,416,291,125,418,0.6995192170143127,0.4104372262954712,0.5173333222258768,0.3652911663944729,0.5643779061591396,0.9531846046447754
3Region_Base,709,413,289,124,420,0.6997578740119934,0.40761634707450867,0.515151505263571,0.3639148050651122,0.5667680091344127,0.9554322361946106
3Region_Thr2055_Edge12,709,412,285,127,424,0.6917475461959839,0.401974618434906,0.5084745741241419,0.359844643938529,0.5674294582703738,0.9526630640029907
