variant,mAP50,mean_precision,mean_recall,classes_evaluated
HR,0.4852234219449316,0.6490535779545704,0.534794338978827,72
Bicubic,0.37676711003164587,0.5857425241006745,0.40978736947808003,72
SRCNN_x4_Adaptive,0.35871296767518346,0.5654300970749723,0.3831770056858659,72
SRCNN_x4_V4,0.35561451683240763,0.5372975810120503,0.3791809141015013,72
3Region_Base,0.3471004371432746,0.5568478440658914,0.3741019724143876,72
3Region_Edge12,0.3439264836970357,0.5620780063586103,0.3718191745380561,72
3Region_Thr1035,0.3421404206590478,0.5640011241452562,0.37026311984906596,72
3Region_Thr2055_Edge12,0.33889557115673324,0.5540202961613735,0.3748134771982829,72
