variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
Bicubic,19,horse,2,2,1.0,1.0,1.0
Bicubic,20,sheep,6,7,0.7857142800376522,0.7142857313156128,0.8333333134651184
Bicubic,22,elephant,6,5,0.5333333571751915,0.800000011920929,0.6666666865348816
Bicubic,23,bear,1,1,1.0,1.0,1.0
Bicubic,24,zebra,2,1,0.5,1.0,0.5
Bicubic,27,backpack,9,1,0.0,0.0,0.0
Bicubic,28,umbrella,2,2,1.0,1.0,1.0
Bicubic,31,handbag,5,4,0.20000000298023224,0.25,0.20000000298023224
Bicubic,32,tie,19,6,0.2543859719707253,0.8333333134651184,0.2631579041481018
Bicubic,33,suitcase,2,1,0.0,0.0,0.0
Bicubic,34,frisbee,3,3,1.0,1.0,1.0
Bicubic,35,skis,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
Bicubic,37,sports ball,1,5,1.0,0.20000000298023224,1.0
Bicubic,38,kite,3,4,0.6666666865348816,0.5,0.6666666865348816
Bicubic,39,baseball bat,2,4,0.75,0.5,1.0
Bicubic,40,baseball glove,2,1,0.5,1.0,0.5
Bicubic,41,skateboard,2,2,0.5,0.5,0.5
Bicubic,42,surfboard,7,1,0.1428571492433548,1.0,0.1428571492433548
Bicubic,43,tennis racket,3,1,0.3333333432674408,1.0,0.3333333432674408
Bicubic,44,bottle,17,9,0.2000000028487514,0.4444444477558136,0.23529411852359772
Bicubic,46,wine glass,24,3,0.125,1.0,0.125
Bicubic,47,cup,24,13,0.24166666095455502,0.5384615659713745,0.2916666567325592
Bicubic,48,fork,4,1,0.0,0.0,0.0
Bicubic,49,knife,10,1,0.10000000149011612,1.0,0.10000000149011612
Bicubic,50,spoon,7,1,0.1428571492433548,1.0,0.1428571492433548
Bicubic,51,bowl,15,10,0.21944445653094213,0.5,0.3333333432674408
Bicubic,52,banana,8,7,0.4598214328289032,0.7142857313156128,0.625
Bicubic,53,apple,2,6,0.1666666716337204,0.1666666716337204,0.5
Bicubic,54,sandwich,1,0,0.0,0.0,0.0
Bicubic,55,orange,1,3,0.0,0.0,0.0
Bicubic,56,broccoli,15,5,0.20000000298023224,0.6000000238418579,0.20000000298023224
Bicubic,57,carrot,6,3,0.3333333432674408,0.6666666865348816,0.3333333432674408
Bicubic,59,pizza,6,5,0.8333333134651184,1.0,0.8333333134651184
Bicubic,60,donut,1,2,0.5,0.5,1.0
Bicubic,61,cake,1,0,0.0,0.0,0.0
Bicubic,62,chair,17,8,0.28431373469385424,0.625,0.29411765933036804
Bicubic,63,couch,2,1,0.5,1.0,0.5
Bicubic,64,potted plant,3,3,0.5555555787351398,0.6666666865348816,0.6666666865348816
Bicubic,65,bed,5,3,0.6000000238418579,1.0,0.6000000238418579
Bicubic,67,dining table,12,9,0.3333333432674408,0.4444444477558136,0.3333333432674408
Bicubic,70,toilet,3,4,0.9166666716337204,0.75,1.0
Bicubic,72,tv,10,8,0.5300000217556953,0.75,0.6000000238418579
Bicubic,73,laptop,7,9,0.32539684526504065,0.4444444477558136,0.5714285969734192
Bicubic,74,mouse,4,1,0.25,1.0,0.25
Bicubic,75,remote,3,0,0.0,0.0,0.0
Bicubic,76,keyboard,9,1,0.1111111119389534,1.0,0.1111111119389534
Bicubic,77,cell phone,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
Bicubic,78,microwave,2,0,0.0,0.0,0.0
Bicubic,79,oven,2,1,0.5,1.0,0.5
Bicubic,81,sink,6,1,0.1666666716337204,1.0,0.1666666716337204
Bicubic,82,refrigerator,3,2,0.6666666865348816,1.0,0.6666666865348816
Bicubic,84,book,15,1,0.0,0.0,0.0
Bicubic,85,clock,6,1,0.0,0.0,0.0
Bicubic,86,vase,7,0,0.0,0.0,0.0
Bicubic,87,scissors,2,1,0.0,0.0,0.0
Bicubic,88,teddy bear,3,5,0.9166666716337204,0.6000000238418579,1.0
SRCNN_x4_V4,1,person,283,198,0.5415981336882565,0.8181818127632141,0.5724381804466248
SRCNN_x4_V4,2,bicycle,5,0,0.0,0.0,0.0
SRCNN_x4_V4,3,car,21,11,0.17424242818542623,0.4545454680919647,0.2380952388048172
SRCNN_x4_V4,4,motorcycle,3,2,0.3333333432674408,0.5,0.3333333432674408
SRCNN_x4_V4,5,airplane,4,3,0.75,1.0,0.75
SRCNN_x4_V4,6,bus,6,5,0.8333333134651184,1.0,0.8333333134651184
SRCNN_x4_V4,7,train,2,1,0.5,1.0,0.5
SRCNN_x4_V4,8,truck,8,3,0.125,0.3333333432674408,0.125
SRCNN_x4_V4,9,boat,7,0,0.0,0.0,0.0
SRCNN_x4_V4,10,traffic light,7,7,0.4285714328289032,0.4285714328289032,0.4285714328289032
SRCNN_x4_V4,11,fire hydrant,2,1,0.5,1.0,0.5
SRCNN_x4_V4,13,stop sign,2,1,0.5,1.0,0.5
SRCNN_x4_V4,15,bench,2,1,0.0,0.0,0.0
SRCNN_x4_V4,16,bird,4,3,0.5,0.6666666865348816,0.5
SRCNN_x4_V4,17,cat,2,2,1.0,1.0,1.0
SRCNN_x4_V4,18,dog,1,2,0.0,0.0,0.0
SRCNN_x4_V4,19,horse,2,2,1.0,1.0,1.0
SRCNN_x4_V4,20,sheep,6,6,0.8333333134651184,0.8333333134651184,0.8333333134651184
SRCNN_x4_V4,22,elephant,6,6,0.5333333571751915,0.6666666865348816,0.6666666865348816
SRCNN_x4_V4,23,bear,1,1,1.0,1.0,1.0
SRCNN_x4_V4,24,zebra,2,2,1.0,1.0,1.0
SRCNN_x4_V4,27,backpack,9,1,0.0,0.0,0.0
SRCNN_x4_V4,28,umbrella,2,2,1.0,1.0,1.0
SRCNN_x4_V4,31,handbag,5,4,0.20000000298023224,0.25,0.20000000298023224
SRCNN_x4_V4,32,tie,19,6,0.2543859719707253,0.8333333134651184,0.2631579041481018
SRCNN_x4_V4,33,suitcase,2,2,0.0,0.0,0.0
SRCNN_x4_V4,34,frisbee,3,3,1.0,1.0,1.0
SRCNN_x4_V4,35,skis,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
SRCNN_x4_V4,37,sports ball,1,2,0.0,0.0,0.0
SRCNN_x4_V4,38,kite,3,2,0.6666666865348816,1.0,0.6666666865348816
SRCNN_x4_V4,39,baseball bat,2,5,0.5,0.4000000059604645,1.0
SRCNN_x4_V4,40,baseball glove,2,2,0.5,0.5,0.5
SRCNN_x4_V4,41,skateboard,2,2,0.5,0.5,0.5
SRCNN_x4_V4,42,surfboard,7,2,0.1428571492433548,0.5,0.1428571492433548
SRCNN_x4_V4,43,tennis racket,3,1,0.3333333432674408,1.0,0.3333333432674408
SRCNN_x4_V4,44,bottle,17,7,0.1764705926179886,0.4285714328289032,0.1764705926179886
SRCNN_x4_V4,46,wine glass,24,4,0.125,0.75,0.125
SRCNN_x4_V4,47,cup,24,12,0.2018849232662765,0.5,0.25
SRCNN_x4_V4,48,fork,4,1,0.0,0.0,0.0
SRCNN_x4_V4,49,knife,10,1,0.10000000149011612,1.0,0.10000000149011612
SRCNN_x4_V4,50,spoon,7,0,0.0,0.0,0.0
SRCNN_x4_V4,51,bowl,15,8,0.21944445653094213,0.625,0.3333333432674408
SRCNN_x4_V4,52,banana,8,9,0.49444445222616196,0.5555555820465088,0.625
