image,variant_bicubic,gt_bicubic,tp_bicubic,fp_bicubic,fn_bicubic,precision_bicubic,recall_bicubic,f1_bicubic,variant_detectionaware,gt_detectionaware,tp_detectionaware,fp_detectionaware,fn_detectionaware,precision_detectionaware,recall_detectionaware,f1_detectionaware,f1_gain,tp_gain,fp_reduction
000000133819.jpg,Bicubic,21,10,13,11,0.43478260869565216,0.47619047619047616,0.4545454545454545,DetectionAware_Thr1035_Beta15,21,11,16,10,0.4074074074074074,0.5238095238095238,0.4583333333333333,0.00378787878787884,1,-3
000000006723.jpg,Bicubic,6,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,DetectionAware_Thr1035_Beta15,6,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0
000000014473.jpg,Bicubic,8,8,0,0,1.0,1.0,1.0,DetectionAware_Thr1035_Beta15,8,8,0,0,1.0,1.0,1.0,0.0,0,0
000000050145.jpg,Bicubic,11,3,2,8,0.6,0.2727272727272727,0.37499999999999994,DetectionAware_Thr1035_Beta15,11,3,2,8,0.6,0.2727272727272727,0.37499999999999994,0.0,0,0
000000051938.jpg,Bicubic,13,4,1,9,0.8,0.3076923076923077,0.4444444444444444,DetectionAware_Thr1035_Beta15,13,4,1,9,0.8,0.3076923076923077,0.4444444444444444,0.0,0,0
000000052007.jpg,Bicubic,8,5,3,3,0.625,0.625,0.625,DetectionAware_Thr1035_Beta15,8,5,3,3,0.625,0.625,0.625,0.0,0,0
000000054967.jpg,Bicubic,16,7,12,9,0.3684210526315789,0.4375,0.39999999999999997,DetectionAware_Thr1035_Beta15,16,7,12,9,0.3684210526315789,0.4375,0.39999999999999997,0.0,0,0
000000055167.jpg,Bicubic,11,3,9,8,0.25,0.2727272727272727,0.2608695652173913,DetectionAware_Thr1035_Beta15,11,3,9,8,0.25,0.2727272727272727,0.2608695652173913,0.0,0,0
000000064523.jpg,Bicubic,23,11,2,12,0.8461538461538461,0.4782608695652174,0.6111111111111112,DetectionAware_Thr1035_Beta15,23,11,2,12,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.0,0,0
000000074646.jpg,Bicubic,13,3,4,10,0.42857142857142855,0.23076923076923078,0.3,DetectionAware_Thr1035_Beta15,13,3,4,10,0.42857142857142855,0.23076923076923078,0.3,0.0,0,0
000000087470.jpg,Bicubic,19,9,10,10,0.47368421052631576,0.47368421052631576,0.47368421052631576,DetectionAware_Thr1035_Beta15,19,9,10,10,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,0,0
000000094751.jpg,Bicubic,17,3,1,14,0.75,0.17647058823529413,0.2857142857142857,DetectionAware_Thr1035_Beta15,17,3,1,14,0.75,0.17647058823529413,0.2857142857142857,0.0,0,0
000000098287.jpg,Bicubic,16,6,4,10,0.6,0.375,0.4615384615384615,DetectionAware_Thr1035_Beta15,16,6,4,10,0.6,0.375,0.4615384615384615,0.0,0,0
000000100274.jpg,Bicubic,9,2,2,7,0.5,0.2222222222222222,0.30769230769230765,DetectionAware_Thr1035_Beta15,9,2,2,7,0.5,0.2222222222222222,0.30769230769230765,0.0,0,0
000000108503.jpg,Bicubic,15,3,9,12,0.25,0.2,0.22222222222222224,DetectionAware_Thr1035_Beta15,15,3,9,12,0.25,0.2,0.22222222222222224,0.0,0,0
000000117492.jpg,Bicubic,23,11,9,12,0.55,0.4782608695652174,0.5116279069767442,DetectionAware_Thr1035_Beta15,23,11,9,12,0.55,0.4782608695652174,0.5116279069767442,0.0,0,0
000000124798.jpg,Bicubic,16,8,13,8,0.38095238095238093,0.5,0.4324324324324324,DetectionAware_Thr1035_Beta15,16,8,13,8,0.38095238095238093,0.5,0.4324324324324324,0.0,0,0
000000138639.jpg,Bicubic,19,8,13,11,0.38095238095238093,0.42105263157894735,0.4,DetectionAware_Thr1035_Beta15,19,8,13,11,0.38095238095238093,0.42105263157894735,0.4,0.0,0,0
000000144706.jpg,Bicubic,7,3,3,4,0.5,0.42857142857142855,0.4615384615384615,DetectionAware_Thr1035_Beta15,7,3,3,4,0.5,0.42857142857142855,0.4615384615384615,0.0,0,0
000000147498.jpg,Bicubic,22,0,0,22,0.0,0.0,0.0,DetectionAware_Thr1035_Beta15,22,0,0,22,0.0,0.0,0.0,0.0,0,0
000000150224.jpg,Bicubic,14,7,7,7,0.5,0.5,0.5,DetectionAware_Thr1035_Beta15,14,7,7,7,0.5,0.5,0.5,0.0,0,0
000000150649.jpg,Bicubic,11,6,1,5,0.8571428571428571,0.5454545454545454,0.6666666666666665,DetectionAware_Thr1035_Beta15,11,6,1,5,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.0,0,0
000000155451.jpg,Bicubic,10,2,7,8,0.2222222222222222,0.2,0.2105263157894737,DetectionAware_Thr1035_Beta15,10,2,7,8,0.2222222222222222,0.2,0.2105263157894737,0.0,0,0
000000157365.jpg,Bicubic,9,7,4,2,0.6363636363636364,0.7777777777777778,0.7000000000000001,DetectionAware_Thr1035_Beta15,9,7,4,2,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.0,0,0
000000160772.jpg,Bicubic,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,DetectionAware_Thr1035_Beta15,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,0.0,0,0
000000167486.jpg,Bicubic,10,5,8,5,0.38461538461538464,0.5,0.4347826086956522,DetectionAware_Thr1035_Beta15,10,5,8,5,0.38461538461538464,0.5,0.4347826086956522,0.0,0,0
000000146498.jpg,Bicubic,6,0,1,6,0.0,0.0,0.0,DetectionAware_Thr1035_Beta15,6,0,2,6,0.0,0.0,0.0,0.0,0,-1
000000049761.jpg,Bicubic,17,1,13,16,0.07142857142857142,0.058823529411764705,0.06451612903225808,DetectionAware_Thr1035_Beta15,17,1,14,16,0.06666666666666667,0.058823529411764705,0.0625,-0.0020161290322580766,0,-1
000000133233.jpg,Bicubic,13,1,6,12,0.14285714285714285,0.07692307692307693,0.1,DetectionAware_Thr1035_Beta15,13,1,7,12,0.125,0.07692307692307693,0.09523809523809525,-0.004761904761904759,0,-1
000000111086.jpg,Bicubic,17,1,2,16,0.3333333333333333,0.058823529411764705,0.1,DetectionAware_Thr1035_Beta15,17,1,3,16,0.25,0.058823529411764705,0.09523809523809523,-0.004761904761904773,0,-1
000000140583.jpg,Bicubic,21,10,14,11,0.4166666666666667,0.47619047619047616,0.4444444444444445,DetectionAware_Thr1035_Beta15,21,10,15,11,0.4,0.47619047619047616,0.43478260869565216,-0.009661835748792313,0,-1
000000172946.jpg,Bicubic,21,9,11,12,0.45,0.42857142857142855,0.4390243902439024,DetectionAware_Thr1035_Beta15,21,9,12,12,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.010452961672473837,0,-1
000000066038.jpg,Bicubic,16,11,14,5,0.44,0.6875,0.5365853658536586,DetectionAware_Thr1035_Beta15,16,11,15,5,0.4230769230769231,0.6875,0.5238095238095238,-0.012775842044134733,0,-1
000000033854.jpg,Bicubic,22,12,5,10,0.7058823529411765,0.5454545454545454,0.6153846153846153,DetectionAware_Thr1035_Beta15,22,12,6,10,0.6666666666666666,0.5454545454545454,0.6,-0.01538461538461533,0,-1
000000057597.jpg,Bicubic,32,11,23,21,0.3235294117647059,0.34375,0.33333333333333337,DetectionAware_Thr1035_Beta15,32,11,27,21,0.2894736842105263,0.34375,0.3142857142857143,-0.01904761904761909,0,-4
000000125572.jpg,Bicubic,28,9,13,19,0.4090909090909091,0.32142857142857145,0.36000000000000004,DetectionAware_Thr1035_Beta15,28,8,11,20,0.42105263157894735,0.2857142857142857,0.3404255319148936,-0.019574468085106433,-1,2
000000142472.jpg,Bicubic,12,7,6,5,0.5384615384615384,0.5833333333333334,0.5599999999999999,DetectionAware_Thr1035_Beta15,12,7,7,5,0.5,0.5833333333333334,0.5384615384615384,-0.021538461538461506,0,-1
000000178982.jpg,Bicubic,9,3,4,6,0.42857142857142855,0.3333333333333333,0.375,DetectionAware_Thr1035_Beta15,9,3,5,6,0.375,0.3333333333333333,0.35294117647058826,-0.022058823529411742,0,-1
