alpha,bicubic_f1,detectionaware_f1,gain_vs_bicubic
0.05,0.426929,0.429693,0.0027639999999999887
0.1,0.426929,0.432256,0.005326999999999971
0.15,0.426929,0.435547,0.008618000000000015
0.3,0.426929,0.430569,0.0036399999999999766
