variant,num_gt,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1,mean_confidence,alpha
HR,1641,2207,922,1285,719,0.4177616674218396,0.5618525289457648,0.4792099792099792,0.33565951667736166,
DetectionAware_Thr1035_Beta15,1641,1431,669,762,972,0.46750524109014674,0.4076782449725777,0.435546875,0.3294669204319298,0.15
3Region_Thr1035,1641,1431,661,770,980,0.46191474493361284,0.4028031687995125,0.4303385416666667,0.3288081137503801,0.15
Bicubic,1641,1404,650,754,991,0.46296296296296297,0.39609993906154783,0.4269293924466338,0.33315891435534356,
