model,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_edge_mae,std_edge_mae,mean_lpips,std_lpips,n_images
Weighted_Loss,26.0449802370532,3.5226859499692043,0.9637730184354281,0.03225768844012996,0.08274685591771584,0.03325274664272989,0.3290439310826753,0.1140520460131413,19
3Region_Thr1035,26.037380082922077,3.490132258724892,0.9643223254304183,0.031654714743715257,0.08048538231988027,0.03202250800691729,0.3416967235113445,0.1137829798979894,19
SRCNN_x4_V4,26.01721710888516,3.525532973053549,0.9635263555928281,0.032346376227527916,0.08338078348240045,0.03339324903924106,0.32901591768390254,0.11348040089062196,19
3Region_Thr,25.967589689934993,3.482715166023912,0.9639290194762381,0.03172259028069331,0.08044994326691751,0.03198301302973452,0.3452763439793336,0.11372327380006915,19
3Region_Edge12,25.943012135696883,3.479853392895882,0.9638464168498391,0.03168231129719267,0.08047708455048437,0.03190952517555711,0.3483178607727352,0.11431353168785495,19
3Region_Thr2055_Edge12,25.898955348392963,3.475190904897847,0.9635711845598722,0.03180136073594087,0.08087036770218074,0.03186946814370169,0.3506742598194825,0.11388587431324729,19
Bicubic,25.381159116188794,3.529733500552839,0.9570570588111877,0.03558156817046239,0.09146741149724914,0.03703639604169419,0.4125494823644036,0.10918152357356323,19
