image,model,psnr,ssim,edge_mae,lpips,checkpoint
coastguard,SRCNN_x4_V4,24.467190064580127,0.956428587436676,0.08790085632677024,0.5111398696899414,./srcnn_v4/srcnn_x4.pth
coastguard,Weighted_Loss,24.483354532006615,0.9566077589988708,0.08740588061382316,0.5132110118865967,./srcnn_adaptive/srcnn_x4_adaptive.pth
coastguard,3Region_Thr,24.49073842155768,0.9568690061569214,0.08640742660257858,0.5315272212028503,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
coastguard,3Region_Edge12,24.477887290895293,0.9568239450454712,0.08654648444556087,0.5357192754745483,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
coastguard,3Region_Thr1035,24.517212781496337,0.9570577144622803,0.08574744428513367,0.52964848279953,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
coastguard,3Region_Thr2055_Edge12,24.456948572049978,0.9565839767456055,0.08672372454163656,0.5364301800727844,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
comic,Bicubic,20.3660775480638,0.9115045666694641,0.11323949022584608,0.49918314814567566,none
comic,SRCNN_x4_V4,20.798800269040637,0.9229856133460999,0.10791941013919214,0.41764673590660095,./srcnn_v4/srcnn_x4.pth
comic,Weighted_Loss,20.81770176383089,0.9234269261360168,0.10751943529953603,0.41694557666778564,./srcnn_adaptive/srcnn_x4_adaptive.pth
comic,3Region_Thr,20.8146272780222,0.9249878525733948,0.10616445483078603,0.43392544984817505,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
comic,3Region_Edge12,20.80161400652905,0.9249061346054077,0.10621369874112992,0.4378158450126648,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
comic,3Region_Thr1035,20.85408241201972,0.9254297018051147,0.1060692186647107,0.4300360083580017,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
comic,3Region_Thr2055_Edge12,20.76286727698962,0.924304187297821,0.10650602782137009,0.4402889311313629,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
face,Bicubic,30.27071818702982,0.9917697906494141,0.03417949246781744,0.40825480222702026,none
face,SRCNN_x4_V4,30.591998516897966,0.9924046993255615,0.031213690957742093,0.33249759674072266,./srcnn_v4/srcnn_x4.pth
face,Weighted_Loss,30.60517946980811,0.9924260973930359,0.03095433451687236,0.33289602398872375,./srcnn_adaptive/srcnn_x4_adaptive.pth
face,3Region_Thr,30.598033032527788,0.9924181699752808,0.030712339245880498,0.3472091555595398,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
face,3Region_Edge12,30.578287612938123,0.9923982620239258,0.030527865246222377,0.35117214918136597,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
face,3Region_Thr1035,30.634834187324863,0.992480456829071,0.030842997585673472,0.34318414330482483,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
face,3Region_Thr2055_Edge12,30.546079937278922,0.9923446178436279,0.030789046394969603,0.35549217462539673,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
flowers,Bicubic,24.196403843524354,0.9587563276290894,0.11493656484425963,0.4072187542915344,none
flowers,SRCNN_x4_V4,24.87357267371007,0.9656534194946289,0.10372979122620794,0.3285873234272003,./srcnn_v4/srcnn_x4.pth
flowers,Weighted_Loss,24.8916390888755,0.9658574461936951,0.10335360398975516,0.3284589350223541,./srcnn_adaptive/srcnn_x4_adaptive.pth
flowers,3Region_Thr,24.83277932643695,0.9660230278968811,0.1009852510942305,0.34563398361206055,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
flowers,3Region_Edge12,24.808376203880425,0.9659116864204407,0.10105883909642624,0.34897249937057495,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
flowers,3Region_Thr1035,24.903521763085152,0.9664254784584045,0.10093937376962771,0.341653048992157,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
flowers,3Region_Thr2055_Edge12,24.744386394020456,0.965488612651825,0.10147291806812622,0.3528483211994171,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
foreman,Bicubic,28.045052399125787,0.9863618016242981,0.08330463395708944,0.3337615728378296,none
foreman,SRCNN_x4_V4,28.746042445915954,0.9885557293891907,0.07315032911961912,0.27037784457206726,./srcnn_v4/srcnn_x4.pth
foreman,Weighted_Loss,28.760968534867686,0.9885905385017395,0.07252337862787703,0.27088141441345215,./srcnn_adaptive/srcnn_x4_adaptive.pth
foreman,3Region_Thr,28.467963407658367,0.9879155158996582,0.07102530567108452,0.28670942783355713,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
foreman,3Region_Edge12,28.406940303127985,0.9877700209617615,0.07111841798379719,0.28656089305877686,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
foreman,3Region_Thr1035,28.589348026475584,0.9882482886314392,0.07053357610717209,0.28667551279067993,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
foreman,3Region_Thr2055_Edge12,28.36701442987643,0.9876534938812256,0.07131529319696568,0.2900802791118622,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
lenna,Bicubic,28.505986199479544,0.9799495935440063,0.0669403056883809,0.34751224517822266,none
lenna,SRCNN_x4_V4,29.232041778067224,0.9833592176437378,0.05891979932634346,0.2898370027542114,./srcnn_v4/srcnn_x4.pth
lenna,Weighted_Loss,29.264708049875246,0.9834924340248108,0.05807313037843864,0.29157721996307373,./srcnn_adaptive/srcnn_x4_adaptive.pth
lenna,3Region_Thr,29.113398582551365,0.9831000566482544,0.0568738485796083,0.3121095597743988,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
lenna,3Region_Edge12,29.094483256228443,0.983048677444458,0.05690562759725382,0.3145943880081177,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
