variant,mAP50,mean_precision,mean_recall,classes_evaluated
HR,0.29835356228761506,0.5345514708065561,0.3219522798566946,56
Bicubic,0.18900243226844063,0.5079347736069134,0.19650170719251037,56
3Region_Thr1035,0.17561407343154317,0.45477317247007576,0.189294284143086,56
DetectionAware_Thr1035_Beta15,0.15901484323908802,0.446067387504237,0.1737936459082578,56
