variant,num_gt,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1,AP50_all_classes,mean_confidence,max_confidence
HR,1610,1032,708,324,902,0.6860465407371521,0.4397515654563904,0.5359576261593723,0.38831821239478814,0.5369257078787615,0.9471012353897095
Bicubic,1610,667,472,195,1138,0.7076461911201477,0.29316771030426025,0.41458059937208847,0.26207891088424473,0.5255424214088578,0.9353439807891846
DetectionAware_Thr1035_Beta15,1610,685,467,218,1143,0.6817518472671509,0.2900620996952057,0.4069716696441996,0.25568478708142517,0.5030296214305572,0.9359205365180969
3Region_Thr1035,1610,675,465,210,1145,0.6888889074325562,0.2888198792934418,0.4070021949123008,0.2537749515313199,0.5043833002779219,0.9332161545753479
