variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
Bicubic,33,suitcase,13,4,0.025641027360390423,0.25,0.07692307978868484
Bicubic,35,skis,2,0,0.0,0.0,0.0
Bicubic,37,sports ball,7,2,0.2857142984867096,1.0,0.2857142984867096
Bicubic,38,kite,17,6,0.29411765933036804,0.8333333134651184,0.29411765933036804
Bicubic,39,baseball bat,4,0,0.0,0.0,0.0
Bicubic,40,baseball glove,8,1,0.125,1.0,0.125
Bicubic,41,skateboard,13,3,0.23076923191547394,1.0,0.23076923191547394
Bicubic,42,surfboard,3,1,0.3333333432674408,1.0,0.3333333432674408
Bicubic,43,tennis racket,14,1,0.0714285746216774,1.0,0.0714285746216774
Bicubic,44,bottle,11,0,0.0,0.0,0.0
Bicubic,46,wine glass,13,0,0.0,0.0,0.0
Bicubic,47,cup,9,4,0.1111111119389534,0.25,0.1111111119389534
Bicubic,48,fork,1,0,0.0,0.0,0.0
Bicubic,49,knife,3,0,0.0,0.0,0.0
Bicubic,50,spoon,1,0,0.0,0.0,0.0
Bicubic,51,bowl,3,0,0.0,0.0,0.0
Bicubic,52,banana,2,2,0.5,0.5,0.5
Bicubic,60,donut,13,5,0.3076923191547394,0.800000011920929,0.3076923191547394
Bicubic,62,chair,49,15,0.14931972999708565,0.6000000238418579,0.18367347121238708
Bicubic,64,potted plant,7,1,0.1428571492433548,1.0,0.1428571492433548
Bicubic,67,dining table,21,1,0.0476190485060215,1.0,0.0476190485060215
Bicubic,72,tv,2,0,0.0,0.0,0.0
Bicubic,75,remote,7,0,0.0,0.0,0.0
Bicubic,77,cell phone,2,1,0.0,0.0,0.0
Bicubic,78,microwave,1,1,1.0,1.0,1.0
Bicubic,79,oven,2,0,0.0,0.0,0.0
Bicubic,82,refrigerator,2,1,0.5,1.0,0.5
Bicubic,85,clock,6,3,0.5,1.0,0.5
Bicubic,86,vase,1,0,0.0,0.0,0.0
Bicubic,88,teddy bear,6,0,0.0,0.0,0.0
3Region_Thr1035,1,person,728,363,0.3365477042520679,0.7465564608573914,0.3722527325153351
